Número por área,Eixo (SAEB),Área,Complexidade,Tarefa,Condição,Número,UID
1.0,Matéria e energia,Química,Alta,"Em equações químicas balanceadas, o total de átomos de cada elemento antes e depois da reação é o mesmo",1,,0
2.0,Matéria e energia,Química,Alta,O átomo mais eletronegativo em uma ligação química atrai os elétrons compartilhados com maior força para si,1,,1
3.0,Matéria e energia,Química,Alta,"As ligações iônicas formam-se por transferência de elétrons entre metais e ametais, criando íons que se atraem eletrostaticamente",1,,2
4.0,Matéria e energia,Química,Alta,O estado físico de substâncias moleculares depende diretamente da intensidade das interações entre suas moléculas,1,,3
5.0,Matéria e energia,Química,Alta,"Aumentar a temperatura acelera reações químicas, elevando a energia e a frequência das colisões entre as partículas",1,,4
6.0,Matéria e energia,Química,Alta,"Catalisadores aceleram reações químicas criando um caminho com menor energia de ativação, sem serem consumidos no final",1,,5
7.0,Matéria e energia,Química,Alta,"Na tabela periódica, elementos no mesmo grupo têm propriedades químicas semelhantes devido à similaridade de elétrons de valência",1,,6
8.0,Matéria e energia,Química,Alta,"Ácidos de Arrhenius liberam íons H+ em água, explicando suas propriedades ácidas e capacidade de neutralizar bases",1,,7
9.0,Matéria e energia,Química,Alta,"A massa molar permite converter entre massa de substância e quantidade de matéria em mols, sendo crucial para cálculos químicos",1,,8
10.0,Matéria e energia,Química,Alta,A reatividade química de um átomo é determinada principalmente pela configuração dos elétrons em sua camada de valência,1,,9
11.0,Matéria e energia,Química,Alta,Os íons têm carga elétrica porque possuem número diferente de elétrons comparado ao número de prótons do átomo neutro,1,,10
12.0,Matéria e energia,Química,Alta,A maleabilidade e ductilidade dos metais vêm dos elétrons livres que permitem o deslizamento atômico sob força,1,,11
13.0,Matéria e energia,Química,Alta,Soluções de sais solúveis conduzem eletricidade pela presença de íons carregados livres para se mover na água,1,,12
14.0,Matéria e energia,Química,Alta,"A água dissolve substâncias polares e iônicas devido à sua própria polaridade molecular, que interage com elas",1,,13
15.0,Matéria e energia,Química,Alta,"A solubilidade de gases em líquidos geralmente diminui com calor, pois moléculas de gás escapam mais facilmente do líquido aquecido",1,,14
16.0,Matéria e energia,Química,Alta,"As reações de combustão liberam energia rapidamente ao reagir um combustível com um agente oxidante, usualmente oxigênio",1,,15
17.0,Matéria e energia,Química,Alta,"Em reações redox, oxidação e redução sempre acontecem juntas entre substâncias diferentes",1,,16
18.0,Matéria e energia,Química,Alta,"A destilação separa líquidos por aquecimento baseado na diferença de seus pontos de ebulição, evaporando e condensando componentes",1,,17
19.0,Matéria e energia,Química,Alta,"Compostos iônicos só conduzem eletricidade fundidos ou dissolvidos, pois precisam de íons móveis; no sólido, os íons estão fixos",1,,18
20.0,Matéria e energia,Química,Alta,A vasta diversidade orgânica resulta da capacidade única do carbono formar longas cadeias e estruturas complexas ligando-se a si mesmo,1,,19
21.0,Matéria e energia,Química,Alta,"Em gases, as partículas ficam fixas em posições definidas, apenas vibrando levemente",0,,20
22.0,Matéria e energia,Química,Alta,O processo de solidificação absorve grande quantidade de energia do ambiente,0,,21
23.0,Matéria e energia,Química,Alta,Uma mistura homogênea pode ter seus componentes separados facilmente por filtração simples,0,,22
24.0,Matéria e energia,Química,Alta,"Todos os elétrons em um átomo estão localizados exclusivamente dentro do núcleo, junto com os prótons",0,,23
25.0,Matéria e energia,Química,Alta,"Em ligações covalentes, ocorre transferência completa de elétrons de um átomo para outro",0,,24
26.0,Matéria e energia,Química,Alta,Uma mudança química sempre pode ser revertida facilmente pelos mesmos meios físicos que a causaram,0,,25
27.0,Matéria e energia,Química,Alta,"Uma solução com pH 8 é considerada um ácido forte, pois tem alta concentração de íons H+",0,,26
28.0,Matéria e energia,Química,Alta,A solubilidade de um sólido em água geralmente diminui com o aumento da temperatura da solução,0,,27
29.0,Matéria e energia,Química,Alta,"A energia luminosa pode ser facilmente convertida em energia química, mas nunca pode ser convertida em energia térmica",0,,28
30.0,Matéria e energia,Química,Alta,"O princípio da conservação da energia afirma que a energia pode ser criada ou destruída, mas não transformada",0,,29
31.0,Matéria e energia,Química,Alta,"A transferência de calor por convecção acontece principalmente em sólidos, através da vibração das partículas",0,,30
32.0,Matéria e energia,Química,Alta,"Em um circuito elétrico simples, os elétrons fluem do polo positivo para o polo negativo da fonte de energia",0,,31
33.0,Matéria e energia,Química,Alta,"A energia nuclear em usinas é liberada pela fusão de núcleos atômicos leves, como o urânio",0,,32
34.0,Matéria e energia,Química,Alta,Observar a formação de bolhas em um líquido aquecido é sempre um sinal de que uma nova substância química está sendo formada,0,,33
35.0,Matéria e energia,Química,Alta,"Ao longo de um período na tabela periódica, o caráter metálico dos elementos geralmente aumenta da esquerda para a direita",0,,34
36.0,Matéria e energia,Química,Alta,"Em qualquer reação química, a soma das massas dos produtos é sempre maior do que a soma das massas dos reagentes",0,,35
37.0,Matéria e energia,Química,Alta,"Em uma pilha eletroquímica, os elétrons fluem externamente do cátodo para o ânodo através do circuito",0,,36
38.0,Matéria e energia,Química,Alta,Compostos orgânicos são definidos por sempre conterem átomos de oxigênio em sua estrutura molecular,0,,37
39.0,Matéria e energia,Química,Alta,Aumentar a área de superfície dos reagentes sólidos geralmente diminui a velocidade de uma reação química,0,,38
40.0,Matéria e energia,Química,Alta,"Um termômetro mede a quantidade total de calor presente em um corpo, não sua temperatura média das partículas",0,,39
1.0,Vida e Evolução,Biologia,Alta,As enzimas aceleram reações biológicas específicas agindo sobre substratos para diminuir a energia de ativação necessária,1,,40
2.0,Vida e Evolução,Biologia,Alta,A composição da membrana plasmática permite controlar seletivamente a entrada e saída de substâncias na célula,1,,41
3.0,Vida e Evolução,Biologia,Alta,"As mitocôndrias geram a maior parte da energia celular através da respiração celular, processo vital para as eucarióticas",1,,42
4.0,Vida e Evolução,Biologia,Alta,"Nos cloroplastos, células vegetais convertem energia luminosa em glicose usando água e gás carbônico",1,,43
5.0,Vida e Evolução,Biologia,Alta,"A meiose reduz os cromossomos pela metade para formar gametas, processo crucial na reprodução sexuada que aumenta a variabilidade",1,,44
6.0,Vida e Evolução,Biologia,Alta,"O DNA armazena informação genética na sequência de suas bases, dirigindo a síntese de proteínas e expressão de características",1,,45
7.0,Vida e Evolução,Biologia,Alta,A grande diversidade de espécies em um ecossistema contribui significativamente para sua resiliência e estabilidade a longo prazo,1,,46
8.0,Vida e Evolução,Biologia,Alta,"Os hormônios agem como mensageiros químicos, regulando e coordenando processos fisiológicos complexos em diferentes partes de organismos",1,,47
9.0,Vida e Evolução,Biologia,Alta,"Pela seleção natural, indivíduos com características mais adaptadas ao ambiente tendem a sobreviver e reproduzir mais, transmitindo-as",1,,48
10.0,Vida e Evolução,Biologia,Alta,"A água é vital para células vivas pois suas propriedades facilitam reações químicas, transporte e manutenção da estrutura celular",1,,49
