Número,Área,Complexidade,Tarefa,Condição
81,Química,Alta,"Em uma reação química, a quantidade de átomos de cada elemento se conserva antes e depois da reação",1
82,Química,Alta,A eletronegatividade é a tendência de um átomo atrair elétrons em uma ligação química,1
83,Química,Alta,Uma ligação iônica ocorre geralmente entre um metal e um ametal,1
84,Química,Alta,"Compostos covalentes podem existir em estados sólido, líquido ou gasoso em condições ambientes",1
85,Química,Alta,O aumento da temperatura geralmente acelera a velocidade de uma reação química,1
86,Química,Alta,Um catalisador reduz a energia de ativação de uma reação sem ser consumido no processo,1
87,Química,Alta,A tabela periódica organiza os elementos em ordem crescente de número atômico,1
88,Química,Alta,Um ácido de Arrhenius libera íons H mais em solução aquosa,1
89,Química,Alta,A massa molar de uma substância corresponde à massa de um mol de suas partículas,1
90,Química,Alta,A configuração eletrônica dos átomos determina suas propriedades químicas,1
91,Química,Alta,Um átomo é eletricamente neutro quando o número de prótons é igual ao número de elétrons,1
92,Química,Alta,A ligação metálica explica a maleabilidade e a ductilidade dos metais,1
93,Química,Alta,"Em uma solução aquosa, sais solúveis se dissociam completamente em seus íons",1
94,Química,Alta,A água é uma substância polar devido à diferença de eletronegatividade entre hidrogênio e oxigênio,1
95,Química,Alta,A solubilidade de um gás em um líquido diminui com o aumento da temperatura,1
96,Química,Alta,Reações de combustão sempre envolvem o reagente oxigênio (O2),1
97,Química,Alta,A oxidação é o processo em que ocorre a perda de elétrons,1
98,Química,Alta,A destilação é um método físico de separação baseado no ponto de ebulição das substâncias,1
99,Química,Alta,"Substâncias iônicas em estado sólido não conduzem eletricidade, mas conduzem quando dissolvidas em água",1
100,Química,Alta,Compostos orgânicos são formados principalmente por átomos de carbono e hidrogênio,1
101,Química,Alta,O número de prótons em um átomo pode variar sem alterar a identidade do elemento,0
102,Química,Alta,A ligação entre dois átomos de oxigênio (O2) é do tipo iônica,0
103,Química,Alta,Compostos orgânicos são formados exclusivamente por carbono e metais,0
104,Química,Alta,"Durante uma reação química, a massa total dos produtos sempre é maior do que a dos reagentes",0
105,Química,Alta,Ácidos de Arrhenius liberam íons OH menos em solução aquosa,0
106,Química,Alta,Um catalisador participa da reação química e é consumido no final,0
107,Química,Alta,O cloreto de sódio (NaCl) é um exemplo de composto molecular covalente,0
108,Química,Alta,Um aumento na temperatura sempre diminui a velocidade de uma reação química,0
109,Química,Alta,Todos os gases possuem densidade maior que líquidos,0
