Número por área,Área,Complexidade,Tarefa,Condição,Área
1,Conheciemnto Geral,Baixa,Um ano normalmente é composto por doze meses,1,Controle
2,Conheciemnto Geral,Baixa,Cavalos são frequentemente usados para a prática de montaria,1,Controle
3,Conheciemnto Geral,Baixa,Cubos de gelo são comumente usados para gelar bebidas,1,Controle
4,Conheciemnto Geral,Baixa,Abelhas usam néctar de flores para fazer mel,1,Controle
5,Conheciemnto Geral,Baixa,O sol geralmente aparece no céu pela manhã,1,Controle
6,Conheciemnto Geral,Baixa,Uma semana é um período que tem sete dias,1,Controle
7,Conheciemnto Geral,Baixa,A cor do céu limpo durante o dia é azul,1,Controle
8,Conheciemnto Geral,Baixa,Gatos domésticos miam para interagir com pessoas,1,Controle
9,Conheciemnto Geral,Baixa,Anéis de casamento são frequentemente feitos de ouro puro,1,Controle
10,Conheciemnto Geral,Baixa,O Natal é uma festa comemorada no mês de dezembro,1,Controle
11,Conheciemnto Geral,Baixa,Muitos pássaros usam as suas asas para poder voar,1,Controle
12,Conheciemnto Geral,Baixa,O açúcar é conhecido por ter um sabor doce,1,Controle
13,Conheciemnto Geral,Baixa,O inverno é uma estação do ano geralmente fria,1,Controle
14,Conheciemnto Geral,Baixa,Elefantes são conhecidos como animais terrestres muito grandes,1,Controle
15,Conheciemnto Geral,Baixa,A madeira utilizada em móveis geralmente vem de árvores,1,Controle
16,Conheciemnto Geral,Baixa,Peixes são animais aquáticos que geralmente vivem na água,1,Controle
17,Conheciemnto Geral,Baixa,Diamantes lapidados são considerados pedras muito preciosas,1,Controle
18,Conheciemnto Geral,Baixa,A Páscoa é uma data que envolve ovos de chocolate,1,Controle
19,Conheciemnto Geral,Baixa,O leão é popularmente conhecido como o rei da selva,1,Controle
20,Conheciemnto Geral,Baixa,O vidro comum das janelas é geralmente transparente,1,Controle
21,Conheciemnto Geral,Baixa,O Dia das Mães é uma tradicional celebração familiar,1,Controle
22,Conheciemnto Geral,Baixa,Muitas espécies de macacos vivem no alto das árvores,1,Controle
23,Conheciemnto Geral,Baixa,O sal de cozinha tem um sabor caracteristicamente salgado,1,Controle
24,Conheciemnto Geral,Baixa,O outono é a estação do ano após o verão,1,Controle
25,Conheciemnto Geral,Baixa,Pinguins são aves adaptadas para viver em regiões geladas,1,Controle
26,Conheciemnto Geral,Baixa,A borracha natural é um material que vem da seringueira,1,Controle
27,Conheciemnto Geral,Baixa,O Ano Novo é uma celebração realizada em janeiro,1,Controle
28,Conheciemnto Geral,Baixa,Cobras se movem pelo chão rastejando rapidamente,1,Controle
29,Conheciemnto Geral,Baixa,A Terra é o planeta conhecido como o lugar onde vivemos,1,Controle
