Número,Área,Complexidade,Tarefa,Condição ***
1,Controle,NA,"A palavra Casa tem mais sílabas que Janela",0
2,Controle,NA,"A palavra Mesa têm a mesma quantidade de sílabas que Bola",0
3,Controle,NA,"A palavra Cachorro tem mais sílabas que Cadeira",0
4,Controle,NA,"A palavra Estrela tem mais sílabas que Terra",1
5,Controle,NA,"A palavra babá tem menos sílabas que janela",1
6,Controle,NA,"A palavra livro tem mais sílabas que caderno",0
7,Controle,NA,"A palavra Lápis tem menos sílabas que menina",1
8,Controle,NA,"A palavra Alegria tem menos sílabas que papel",0
9,Controle,NA,"A palavra Computador tem mais sílabas que Telefone",0
10,Controle,NA,"A palavra,Escola tem mais sílabas que a palavra Emprego",1
11,Controle,NA,"A palavra,História tem menos sílabas que Relógio",0
12,Controle,NA,"A palavra,Amigo tem mais sílabas que a palavra Amor",1
13,Controle,NA,"A palavra,Elefante tem menos sílabas que a palavra Girafa",0
14,Controle,NA,"A palavra,Rápido tem mais sílabas que vento",0
15,Controle,NA,"A palavra,Coração tem menos sílabas que pilha",0
16,Controle,NA,"A palavra,Criativo tem menos sílabas que irmão",0
17,Controle,NA,"A palavra,Professor tem menos sílabas que Aluno",0
18,Controle,NA,"A palavra,Colher tem mais vogais que SAPO",0
19,Controle,NA,"A palavra,Sol tem menos vogais que Lua",1
20,Controle,NA,"A palavra,Dedo tem mais vogais que Mão",0
21,Controle,NA,"A palavra,Calor tem menos vogais que mamão",1
22,Controle,NA,"A palavra,Gato tem mais vogais que Salada",0
23,Controle,NA,"A palavra,Noite tem mais vogais que Nuvem",1
24,Controle,NA,"A palavra,Amarelo tem menos vogais que Verde",0
25,Controle,NA,"A palavra,Laranja tem mais vogais que Lilás",1
26,Controle,NA,"A palavra,Doce têm menos vogais que Anjo",0
27,Controle,NA,"A palavra,Namorado tem mais vogais que Cedo",1
28,Controle,NA,"A palavra,Véu tem menos vogais que Feira",1
29,Controle,NA,"A palavra,Mar tem mais Sílabas que Peixe",0
30,Controle,NA,"A palavra,Pato tem menos vogais que Lua",0
31,Controle,NA,"A palavra,Banana tem mais vogais que Abacaxi",0 
32,Controle,NA,"A palavra,Boneca tem a mais vogais que Ilha",1
33,Controle,NA,"A palavra,Beijo tem menos vogais que Euforia",1
34,Controle,NA,"A palavra,Computador têm mais vogais que Tinta",1
35,Controle,NA,"A palavra,pato tem mais sílabas que bola",0
36,Controle,NA,"A palavra,gato tem mais sílabas que mesa",0
37,Controle,NA,"A palavra,janela tem mais sílabas que porta",1
38,Controle,NA,"A palavra,amigo tem menos sílabas que família",1
39,Controle,NA,"A palavra,sol tem mais sílabas que pai",0
40,Controle,NA,"A palavra,cachorro tem mais sílabas que carro",1
41,Controle,NA,"A palavra,lasanha tem mais sílabas que mãe",1
42,Controle,NA,"A palavra,menina tem menos sílabas que menino",0
43,Controle,NA,"A palavra,Jabuti tem mais sílabas que Rio",1
44,Controle,NA,"A palavra,arroz tem mais sílabas que céu",0
45,Controle,NA,"A palavra,Morango tem menos sílabas que Copo",1
46,Controle,NA,"A palavra,Violão tem mais sílabas que Flor",1
47,Controle,NA,"A palavra,Rato tem mais sílabas que Jacaré",0
48,Controle,NA,"A palavra,Barco tem menos sílabas que Faca",0
49,Controle,NA,"A palavra,televisão tem mais sílabas que rádio",1
50,Controle,NA,"A palavra,Bolacha tem mais sílabas que Urso",1
51,Controle,NA,"A palavra,floresta tem mais sílabas que rosa",1
52,Controle,NA,"A palavra,festejar tem menos sílabas que limão",0
53,Controle,NA,"A palavra,Pente tem mais sílabas que Armário",0
54,Controle,NA,"A palavra,vovó tem menos sílabas que madrinha",1
55,Controle,NA,"A palavra,Caminhão tem mais vogais que Moto",1
56,Controle,NA,"A palavra,Cabelo tem menos vogais que Roupa",1
57,Controle,NA,"A palavra,Bombom tem mais vogais que Goiaba",0
58,Controle,NA,"A palavra,Açaí tem menos vogais que farinha",0
59,Controle,NA,"A palavra,Academia tem mais vogais que Luva",0
60,Controle,NA,"A palavra,açúcar tem menos vogais que sal",0
61,Controle,NA,"A palavra,Chocolate tem mais vogais que fruta",1
62,Controle,NA,"A palavra,felicidade tem mais vogais que triste",1
63,Controle,NA,"A palavra,Pia tem mais vogais que Caneta",0
64,Controle,NA,"A palavra,Amor tem mais vogais que presente",1
65,Controle,NA,"A palavra,Baleia tem menos vogais que Folha",0
66,Controle,NA,"A palavra,Hora tem mais vogais que Parede",0
67,Controle,NA,"A palavra,Melancia tem mais vogais que Uva",1
68,Controle,NA,"A palavra,Mochila tem mais vogais que Lápis",1
69,Controle,NA,"A palavra,Acerola tem menos vogais que Fogo",0
70,Controle,NA,"A palavra,Tapioca tem mais vogais que Tomate",1
71,Controle,NA,"A palavra,Janeiro tem mais vogais que Março",1
72,Controle,NA,"A palavra,Piano tem menos vogais que Música",0
73,Controle,NA,"A palavra,Cofre tem mais vogais que Banco",0
74,Controle,NA,"A palavra,Cebola tem mais vogais que Alho",1
75,Controle,NA,"A palavra,estrela tem mais vogais que Natação",0
76,Controle,NA,"A palavra,Médico tem mais vogais que Arquiteto",0
77,Controle,NA,"A palavra,chave tem mais vogais que porta",0
78,Controle,NA,"A palavra,Jogo tem mais sílabas que Luta",0
79,Controle,NA,"A palavra,Aliança tem mais vogais que Pipoca",1
80,Controle,NA,"A palavra,Moça tem mais sílabas que Caneca",0
