Número,Área,Complexidade,Tarefa,Condição
0,MatCon,NA,"A palavra Casa, tem mais sílabas que Janela",0
0,MatCon,NA,"A palavra FITA, tem menos sílabas que presente ",1
0,MatCon,NA,"A palavra Cachorro, tem mais sílabas que Cadeira",0
0,MatCon,NA,"A palavra Estrela, tem mais sílabas que Terra",1
0,MatCon,NA,"A palavra babá, tem menos sílabas que janela",1
0,MatCon,NA,"A palavra livro, tem mais sílabas que caderno",0
0,MatCon,NA,"A palavra Lápis, tem menos sílabas que menina",1
0,MatCon,NA,"A palavra Alegria, tem menos sílabas que papel",0
0,MatCon,NA,"A palavra Computador, tem mais sílabas que Telefone",0
0,MatCon,NA,"A palavra cola, tem menos sílabas que a palavra Emprego",1
0,MatCon,NA,"A palavra História, tem menos sílabas que Relógio",0
0,MatCon,NA,"A palavra Amigo, tem mais sílabas que a palavra Amor",1
0,MatCon,NA,"A palavra Elefante, tem menos sílabas que a palavra Girafa",0
0,MatCon,NA,"A palavra Rápido, tem menos sílabas que vento",0
0,MatCon,NA,"A palavra Coração, tem menos sílabas que pilha",0
0,MatCon,NA,"A palavra Criativo, tem menos sílabas que  irmão",0
0,MatCon,NA,"A palavra Professor, tem menos sílabas que Aluno",0
0,MatCon,NA,"A palavra Colher, tem mais sílabas que SAPO",0
0,MatCon,NA,"A palavra Sol, tem menos sílabas que protetor",1
0,MatCon,NA,"A palavra Dedo, tem mais sílabas que dado",0
0,MatCon,NA,"A palavra RALO, tem menos sílabas que ARVORE",1
0,MatCon,NA,"A palavra Gato, tem mais sílabas que Salada",0
0,MatCon,NA,"A palavra ARCO-ÍRIS, tem mais sílabas que Nuvem",1
0,MatCon,NA,"A palavra Amarelo, tem menos sílabas que Verde",0
0,MatCon,NA,"A palavra Laranja, tem mais sílabas que Lilás",1
0,MatCon,NA,"A palavra Doce, tem menos sílabas que Anjo",0
0,MatCon,NA,"A palavra Namorado, tem mais sílabas que Casa",1
0,MatCon,NA,"A palavra Véu, tem menos sílabas que Catedral",1
