#OBS: UID está desregulado 

Número por área,Área,Complexidade,Tarefa,Condição,Eixo (SAEB),Área.1,Número,UID
1.0,Química,Alta,"Em equações químicas balanceadas, o total de átomos de cada elemento antes e depois da reação é o mesmo",1,Matéria e energia,,,101
2.0,Química,Alta,O átomo mais eletronegativo em uma ligação química atrai os elétrons compartilhados com maior força para si,1,Matéria e energia,,,102
3.0,Química,Alta,"Ligações iônicas formam-se por transferência de elétrons entre metais e ametais, criando íons que se atraem eletrostaticamente",1,Matéria e energia,,,103
4.0,Química,Alta,O estado físico de substâncias moleculares depende diretamente da intensidade das interações entre suas moléculas,1,Matéria e energia,,,104
5.0,Química,Alta,"Aumentar a temperatura acelera reações químicas, elevando a energia e a frequência das colisões entre as partículas",1,Matéria e energia,,,105
6.0,Química,Alta,"Catalisadores aceleram reações químicas criando um caminho com menor energia de ativação, sem serem consumidos no final",1,Matéria e energia,,,106
7.0,Química,Alta,"Na tabela periódica, elementos no mesmo grupo têm propriedades químicas semelhantes devido à similaridade de elétrons de valência",1,Matéria e energia,,,107
8.0,Química,Alta,"Ácidos de Arrhenius liberam íons H+ em água, explicando suas propriedades ácidas e capacidade de neutralizar bases",erdadeira,Matéria e energia,,,108
9.0,Química,Alta,"A massa molar permite converter entre massa de substância e quantidade de matéria em mols, sendo crucial para cálculos químicos",1,Matéria e energia,,,109
10.0,Química,Alta,A reatividade química de um átomo é determinada principalmente pela configuração dos elétrons em sua camada de valência,1,Matéria e energia,,,110
11.0,Química,Alta,Íons têm carga elétrica porque possuem número diferente de elétrons comparado ao número de prótons do átomo neutro,1,Matéria e energia,,,111
12.0,Química,Alta,A maleabilidade e ductilidade dos metais vêm dos elétrons livres que permitem o deslizamento atômico sob força,1,Matéria e energia,,,112
13.0,Química,Alta,Soluções de sais solúveis conduzem eletricidade pela presença de íons carregados livres para se mover na água,1,Matéria e energia,,,113
14.0,Química,Alta,"A água dissolve substâncias polares e iônicas devido à sua própria polaridade molecular, que interage com elas",1,Matéria e energia,,,114
15.0,Química,Alta,"A solubilidade de gases em líquidos geralmente diminui com calor, pois moléculas de gás escapam mais facilmente do líquido aquecido",1,Matéria e energia,,,115
16.0,Química,Alta,"Reações de combustão liberam energia  rapidamente ao reagir um combustível com um agente oxidante, usualmente oxigênio",1,Matéria e energia,,,116
17.0,Química,Alta,"Em reações redox, oxidação  e redução sempre acontecem juntas entre substâncias diferentes",1,Matéria e energia,,,117
18.0,Química,Alta,"Destilação separa líquidos por aquecimento baseado na diferença de seus pontos de ebulição, evaporando e condensando componentes",1,Matéria e energia,,,118
19.0,Química,Alta,"Compostos iônicos só conduzem eletricidade fundidos ou dissolvidos, pois precisam de íons móveis; no sólido, os íons estão fixos",1,Matéria e energia,,,119
20.0,Química,Alta,A vasta diversidade orgânica resulta da capacidade única do carbono formar longas cadeias e estruturas complexas ligando-se a si mesmo,1,Matéria e energia,,,120
21.0,Química,Alta,"Em gases, as partículas ficam fixas em posições definidas, apenas vibrando levemente",0,Matéria e energia,,,121
22.0,Química,Alta,O processo de solidificação absorve grande quantidade de energia do ambiente,0,Matéria e energia,,,122
23.0,Química,Alta,Uma mistura homogênea pode ter seus componentes separados facilmente por filtração simples,0,Matéria e energia,,,123
24.0,Química,Alta,"Todos os elétrons em um átomo estão localizados exclusivamente dentro do núcleo, junto com os prótons",0,Matéria e energia,,,124
25.0,Química,Alta,"Em ligações covalentes, ocorre transferência completa de elétrons de um átomo para outro",0,Matéria e energia,,,125
26.0,Química,Alta,Uma mudança química sempre pode ser revertida facilmente pelos mesmos meios físicos que a causaram,0,Matéria e energia,,,126
27.0,Química,Alta,"Uma solução com pH 8 é considerada um ácido forte, pois tem alta concentração de íons H+",0,Matéria e energia,,,127
28.0,Química,Alta,A solubilidade de um sólido em água geralmente diminui com o aumento da temperatura da solução,0,Matéria e energia,,,128
29.0,Química,Alta,"A energia luminosa pode ser facilmente convertida em energia química, mas nunca pode ser convertida em energia térmica",0,Matéria e energia,,,129
30.0,Química,Alta,"O princípio da conservação da energia afirma que a energia pode ser criada ou destruída, mas não transformada",0,Matéria e energia,,,130
31.0,Química,Alta,"A transferência de calor por convecção acontece principalmente em sólidos, através da vibração das partículas",0,Matéria e energia,,,131
32.0,Química,Alta,"Em um circuito elétrico simples, os elétrons fluem do polo positivo para o polo negativo da fonte de energia",0,Matéria e energia,,,132
33.0,Química,Alta,"A energia nuclear em usinas é liberada pela fusão de núcleos atômicos leves, como o urânio",0,Matéria e energia,,,133
34.0,Química,Alta,Observar a formação de bolhas em um líquido aquecido é sempre um sinal de que uma nova substância química está sendo formada,0,Matéria e energia,,,134
35.0,Química,Alta,"Ao longo de um período na tabela periódica, o caráter metálico dos elementos geralmente aumenta da esquerda para a direita",0,Matéria e energia,,,135
36.0,Química,Alta,"Em qualquer reação química, a soma das massas dos produtos é sempre maior do que a soma das massas dos reagentes",0,Matéria e energia,,,136
