Número por área,Área,Complexidade,Tarefa,Condição
1,Controle,Baixa,Um ano normalmente é composto por doze meses,1
2,Controle,Baixa,Cavalos são frequentemente usados para a prática de montaria,1
3,Controle,Baixa,Cubos de gelo são comumente usados para gelar bebidas,1
4,Controle,Baixa,Abelhas usam néctar de flores para fazer mel,1
5,Controle,Baixa,O sol geralmente aparece no céu pela manhã,1
6,Controle,Baixa,Uma semana é um período que tem sete dias,1
7,Controle,Baixa,A cor do céu limpo durante o dia é azul,1
8,Controle,Baixa,Gatos domésticos miam para interagir com pessoas,1
9,Controle,Baixa,Anéis de casamento são frequentemente feitos de ouro puro,1
10,Controle,Baixa,O Natal é uma festa comemorada no mês de dezembro,1
11,Controle,Baixa,Muitos pássaros usam as suas asas para poder voar,1
12,Controle,Baixa,O açúcar é conhecido por ter um sabor doce,1
13,Controle,Baixa,O inverno é uma estação do ano geralmente fria,1
14,Controle,Baixa,Elefantes são conhecidos como animais terrestres muito grandes,1
15,Controle,Baixa,A madeira utilizada em móveis geralmente vem de árvores,1
16,Controle,Baixa,Peixes são animais aquáticos que geralmente vivem na água,1
17,Controle,Baixa,Diamantes lapidados são considerados pedras muito preciosas,1
18,Controle,Baixa,A Páscoa é uma data que envolve ovos de chocolate,1
19,Controle,Baixa,O leão é popularmente conhecido como o rei da selva,1
20,Controle,Baixa,O vidro comum das janelas é geralmente transparente,1
21,Controle,Baixa,O Dia das Mães é uma tradicional celebração familiar,1
22,Controle,Baixa,Muitas espécies de macacos vivem no alto das árvores,1
23,Controle,Baixa,O sal de cozinha tem um sabor caracteristicamente salgado,1
24,Controle,Baixa,O outono é a estação do ano após o verão,1
25,Controle,Baixa,Pinguins são aves adaptadas para viver em regiões geladas,1
26,Controle,Baixa,A borracha natural é um material que vem da seringueira,1
27,Controle,Baixa,O Ano Novo é uma celebração realizada em janeiro,1
28,Controle,Baixa,Cobras se movem pelo chão rastejando rapidamente,1
29,Controle,Baixa,A Terra é o planeta conhecido como o lugar onde vivemos,1
30,Controle,Baixa,Coelhos são animais que gostam de comer cenouras,1
31,Controle,Baixa,Golfinhos emitem diferentes sons para poder se comunicar,1
32,Controle,Baixa,O vinagre comum é bastante usado para temperar saladas,1
33,Controle,Baixa,A primavera é a estação do ano antes do verão,1
34,Controle,Baixa,Ursos selvagens vivem em regiões de florestas e montanhas,1
