question,subject,response,expected_answer,score
blk01_q01_040_high_complexity_biology_true,biology,1,1,1
blk01_q02_000_high_complexity_chemistry_true,chemistry,1,1,1
blk01_q03_230_high_complexity_physics_0,physics,1,0,0
blk01_q04_192_high_complexity_biology_0,biology,1,0,0
blk01_q05_014_high_complexity_chemistry_true,chemistry,1,1,1
blk01_q06_226_high_complexity_physics_0,physics,1,0,0
blk01_q07_047_high_complexity_biology_true,biology,1,1,1
blk01_q08_156_high_complexity_chemistry_0,chemistry,1,0,0
blk01_q09_100_high_complexity_physics_false,physics,1,0,0
blk01_q10_045_high_complexity_biology_true,biology,0,1,0
blk01_q11_133_high_complexity_chemistry_1,chemistry,0,1,0
blk01_q12_225_high_complexity_physics_0,physics,1,0,0
blk01_q13_187_high_complexity_biology_0,biology,0,0,1
blk01_q14_037_high_complexity_chemistry_false,chemistry,0,0,1
blk01_q15_085_high_complexity_physics_true,physics,0,1,0
blk01_q16_199_high_complexity_biology_0,biology,0,0,1
blk01_q17_011_high_complexity_chemistry_true,chemistry,1,1,1
blk01_q18_219_high_complexity_physics_1,physics,1,1,1
blk01_q19_048_high_complexity_biology_true,biology,0,1,0
blk01_q20_007_high_complexity_chemistry_true,chemistry,0,1,0
blk01_q21_089_high_complexity_physics_true,physics,0,1,0
blk01_q22_161_high_complexity_biology_1,biology,0,1,0
blk01_q23_008_high_complexity_chemistry_true,chemistry,0,1,0
blk01_q24_206_high_complexity_physics_1,physics,0,1,0
