Número por área,Eixo (SAEB),Área,Complexidade,Tarefa,Condição
1,Matéria e energia,Química,Alta,"Em equações químicas balanceadas, o total de átomos de cada elemento antes e depois da reação é o mesmo",1
2,Matéria e energia,Química,Alta,O átomo mais eletronegativo em uma ligação química atrai os elétrons compartilhados com maior força para si,1
3,Matéria e energia,Química,Alta,"As ligações iônicas formam-se por transferência de elétrons entre metais e ametais, criando íons que se atraem eletrostaticamente",1
4,Matéria e energia,Química,Alta,O estado físico de substâncias moleculares depende diretamente da intensidade das interações entre suas moléculas,1
5,Matéria e energia,Química,Alta,"Aumentar a temperatura acelera reações químicas, elevando a energia e a frequência das colisões entre as partículas",1
6,Matéria e energia,Química,Alta,"Catalisadores aceleram reações químicas criando um caminho com menor energia de ativação, sem serem consumidos no final",1
7,Matéria e energia,Química,Alta,"Na tabela periódica, elementos no mesmo grupo têm propriedades químicas semelhantes devido à similaridade de elétrons de valência",1
8,Matéria e energia,Química,Alta,"Ácidos de Arrhenius liberam íons H+ em água, explicando suas propriedades ácidas e capacidade de neutralizar bases",1
9,Matéria e energia,Química,Alta,"A massa molar permite converter entre massa de substância e quantidade de matéria em mols, sendo crucial para cálculos químicos",1
10,Matéria e energia,Química,Alta,A reatividade química de um átomo é determinada principalmente pela configuração dos elétrons em sua camada de valência,1
11,Matéria e energia,Química,Alta,Os íons têm carga elétrica porque possuem número diferente de elétrons comparado ao número de prótons do átomo neutro,1
12,Matéria e energia,Química,Alta,A maleabilidade e ductilidade dos metais vêm dos elétrons livres que permitem o deslizamento atômico sob força,1
13,Matéria e energia,Química,Alta,Soluções de sais solúveis conduzem eletricidade pela presença de íons carregados livres para se mover na água,1
14,Matéria e energia,Química,Alta,"A água dissolve substâncias polares e iônicas devido à sua própria polaridade molecular, que interage com elas",1
15,Matéria e energia,Química,Alta,"A solubilidade de gases em líquidos geralmente diminui com calor, pois moléculas de gás escapam mais facilmente do líquido aquecido",1
16,Matéria e energia,Química,Alta,"As reações de combustão liberam energia rapidamente ao reagir um combustível com um agente oxidante, usualmente oxigênio",1
17,Matéria e energia,Química,Alta,"Em reações redox, oxidação e redução sempre acontecem juntas entre substâncias diferentes",1
18,Matéria e energia,Química,Alta,"A destilação separa líquidos por aquecimento baseado na diferença de seus pontos de ebulição, evaporando e condensando componentes",1
19,Matéria e energia,Química,Alta,"Compostos iônicos só conduzem eletricidade fundidos ou dissolvidos, pois precisam de íons móveis; no sólido, os íons estão fixos",1
20,Matéria e energia,Química,Alta,A vasta diversidade orgânica resulta da capacidade única do carbono formar longas cadeias e estruturas complexas ligando-se a si mesmo,1
21,Matéria e energia,Química,Alta,"Em gases, as partículas ficam fixas em posições definidas, apenas vibrando levemente",0
22,Matéria e energia,Química,Alta,O processo de solidificação absorve grande quantidade de energia do ambiente,0
23,Matéria e energia,Química,Alta,Uma mistura homogênea pode ter seus componentes separados facilmente por filtração simples,0
24,Matéria e energia,Química,Alta,"Todos os elétrons em um átomo estão localizados exclusivamente dentro do núcleo, junto com os prótons",0
25,Matéria e energia,Química,Alta,"Em ligações covalentes, ocorre transferência completa de elétrons de um átomo para outro",0
26,Matéria e energia,Química,Alta,Uma mudança química sempre pode ser revertida facilmente pelos mesmos meios físicos que a causaram,0
