Número por área,Eixo (SAEB),Área,Complexidade,Tarefa,Condição
1,Matéria e energia,Química,Baixa,A água pura ferve a 100°C ao nível do mar,1
2,Matéria e energia,Química,Baixa,"O átomo é constituído por prótons, elétrons e nêutrons",1
3,Matéria e energia,Química,Baixa,Uma mistura homogênia possui uma única fase,1
4,Matéria e energia,Química,Baixa,O oxigênio é necessário para a combustão,1
5,Matéria e energia,Química,Baixa,"A água pode ser encontrada em estado sólido, líquido e gasoso",1
6,Matéria e energia,Química,Baixa,O limão contém substâncias ácidas,1
7,Matéria e energia,Química,Baixa,A luz é considerada uma forma de energia,1
8,Matéria e energia,Química,Baixa,Podemos separar misturas usando métodos como filtração,1
9,Matéria e energia,Química,Baixa,A temperatura mostra se as partículas estão mais rápidas ou lentas,1
10,Matéria e energia,Química,Baixa,O calor sempre vai de um lugar mais quente para um lugar mais frio,1
11,Matéria e energia,Química,Baixa,O ouro é um elemento químico,1
12,Matéria e energia,Química,Baixa,A ar que respiramos é uma mistura de diferentes gases,1
13,Matéria e energia,Química,Baixa,Uma parte do ar que respiramos é oxigênio,1
14,Matéria e energia,Química,Baixa,"O calor pode passar tocando, pelo ar ou pela luz",1
15,Matéria e energia,Química,Baixa,Os metais são bons condutores de eletricidade,1
16,Matéria e energia,Química,Baixa,Metais conduzem eletricidade melhor que madeira,1
17,Matéria e energia,Química,Baixa,"A energia muda de forma, mas nunca desaparece",1
18,Matéria e energia,Química,Baixa,Os metais não conseguem passar o calor facilmente,1
19,Matéria e energia,Química,Baixa,"Quanto mais tempo a água ferve, mais quente ela fica",1
20,Matéria e energia,Química,Baixa,Tudo o que existe é feito de pequenas partículas chamadas átomos,1
21,Matéria e energia,Química,Baixa,A água só existe no estado líquido na Terra,0
22,Matéria e energia,Química,Baixa,O sal de cozinha é insolúvel em água,0
23,Matéria e energia,Química,Baixa,"Quando as partículas do ar esquentam, param de se mexer",0
24,Matéria e energia,Química,Baixa,A água é um péssimo solvente,0
25,Matéria e energia,Química,Baixa,A eletricidade só existe quando vemos faíscas ou raios,0
26,Matéria e energia,Química,Baixa,O calor é uma coisa que entra e sai dos corpos como um líquido,0
27,Matéria e energia,Química,Baixa,A eletricidade vem do movimento dos nêutrons nos fios,0
28,Matéria e energia,Química,Baixa,Partículas com cargas opostas se repelem,0
29,Matéria e energia,Química,Baixa,A fusão é a passagemda matéria do estado líquido para o gasoso,0
30,Matéria e energia,Química,Baixa,O frio é um tipo de energia que entra nos corpos quentes,0
31,Matéria e energia,Química,Baixa,Misturas heterogênias apresentam uma única  fase,0
32,Matéria e energia,Química,Baixa," Os gáses têm forma própria, igual a uma pedra",0
